"filename", "language", "Markdown", "Dart", "YAML", "Swift", "XML", "C++", "JSON", "Properties", "Groovy", "comment", "blank", "total"
"e:\studio projects\sono\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\studio projects\sono\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\studio projects\sono\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 51, 5, 12, 68
"e:\studio projects\sono\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"e:\studio projects\sono\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 1, 34
"e:\studio projects\sono\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"e:\studio projects\sono\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"e:\studio projects\sono\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"e:\studio projects\sono\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"e:\studio projects\sono\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"e:\studio projects\sono\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 5, 31
"e:\studio projects\sono\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\studio projects\sono\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\studio projects\sono\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 6, 30
"e:\studio projects\sono\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
