Date : 2024-03-14 19:58:53
Directory : e:\studio projects\sono
Total : 64 files,  1441 codes, 204 comments, 252 blanks, all 1897 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         41 |      1,008 |         76 |        188 |      1,272 |
| JSON       |          2 |        145 |          0 |          2 |        147 |
| XML        |          9 |        120 |         48 |         11 |        179 |
| Groovy     |          3 |        101 |          5 |         23 |        129 |
| YAML       |          2 |         26 |         73 |         10 |        109 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         64 |      1,441 |        204 |        252 |      1,897 |
| . (Files)                                                                                 |          3 |         36 |         73 |         17 |        126 |
| android                                                                                   |         12 |        168 |         51 |         34 |        253 |
| android (Files)                                                                           |          3 |         53 |          0 |         12 |         65 |
| android\app                                                                               |          8 |        110 |         51 |         21 |        182 |
| android\app (Files)                                                                       |          1 |         51 |          5 |         12 |         68 |
| android\app\src                                                                           |          7 |         59 |         46 |          9 |        114 |
| android\app\src\debug                                                                     |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                      |          5 |         53 |         38 |          7 |         98 |
| android\app\src\main (Files)                                                              |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\res                                                                  |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                     |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                   |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                            |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                    |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                       |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                        |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                           |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                             |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                           |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                     |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                       |         41 |      1,008 |         76 |        188 |      1,272 |
| lib (Files)                                                                               |          2 |         58 |          0 |         11 |         69 |
| lib\core                                                                                  |         10 |        159 |         73 |         65 |        297 |
| lib\core\constant                                                                         |          4 |         62 |         36 |         35 |        133 |
| lib\core\constant (Files)                                                                 |          2 |         29 |          7 |         13 |         49 |
| lib\core\constant\routes                                                                  |          2 |         33 |         29 |         22 |         84 |
| lib\core\localization                                                                     |          4 |         70 |         37 |         17 |        124 |
| lib\core\localization (Files)                                                             |          2 |         20 |         22 |          9 |         51 |
| lib\core\localization\language                                                            |          2 |         50 |         15 |          8 |         73 |
| lib\core\middleware                                                                       |          1 |         14 |          0 |          7 |         21 |
| lib\core\services                                                                         |          1 |         13 |          0 |          6 |         19 |
| lib\data                                                                                  |          2 |         17 |          0 |          3 |         20 |
| lib\data\data_source                                                                      |          1 |         11 |          0 |          2 |         13 |
| lib\data\data_source\static                                                               |          1 |         11 |          0 |          2 |         13 |
| lib\data\model                                                                            |          1 |          6 |          0 |          1 |          7 |
| lib\logic                                                                                 |          3 |         84 |          1 |         22 |        107 |
| lib\logic\bindings                                                                        |          1 |          8 |          1 |          4 |         13 |
| lib\logic\controller                                                                      |          2 |         76 |          0 |         18 |         94 |
| lib\view                                                                                  |         24 |        690 |          2 |         87 |        779 |
| lib\view\screen                                                                           |         10 |        173 |          0 |         31 |        204 |
| lib\view\screen (Files)                                                                   |          6 |        105 |          0 |         20 |        125 |
| lib\view\screen\home_page                                                                 |          4 |         68 |          0 |         11 |         79 |
| lib\view\screen\home_page (Files)                                                         |          1 |         10 |          0 |          3 |         13 |
| lib\view\screen\home_page\icons_home                                                      |          3 |         58 |          0 |          8 |         66 |
| lib\view\screen\home_page\icons_home (Files)                                              |          2 |         35 |          0 |          5 |         40 |
| lib\view\screen\home_page\icons_home\add_ads                                              |          1 |         23 |          0 |          3 |         26 |
| lib\view\widget                                                                           |         14 |        517 |          2 |         56 |        575 |
| lib\view\widget (Files)                                                                   |          2 |         60 |          2 |          8 |         70 |
| lib\view\widget\bottom_nav_bar                                                            |          2 |        116 |          0 |         10 |        126 |
| lib\view\widget\home_page                                                                 |          6 |        187 |          0 |         25 |        212 |
| lib\view\widget\home_page (Files)                                                         |          1 |         23 |          0 |          4 |         27 |
| lib\view\widget\home_page\add_ads                                                         |          2 |         54 |          0 |          7 |         61 |
| lib\view\widget\home_page\custom_appbar_home                                              |          3 |        110 |          0 |         14 |        124 |
| lib\view\widget\onboarding                                                                |          4 |        154 |          0 |         13 |        167 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                  | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\studio projects\sono\README.md                                                         | Markdown   |         10 |          0 |          7 |         17 |
| e:\studio projects\sono\analysis_options.yaml                                             | YAML       |          3 |         22 |          4 |         29 |
| e:\studio projects\sono\android\app\build.gradle                                          | Groovy     |         51 |          5 |         12 |         68 |
| e:\studio projects\sono\android\app\src\debug\AndroidManifest.xml                         | XML        |          3 |          4 |          1 |          8 |
| e:\studio projects\sono\android\app\src\main\AndroidManifest.xml                          | XML        |         27 |          6 |          1 |         34 |
| e:\studio projects\sono\android\app\src\main\res\drawable-v21\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| e:\studio projects\sono\android\app\src\main\res\drawable\launch_background.xml           | XML        |          4 |          7 |          2 |         13 |
| e:\studio projects\sono\android\app\src\main\res\values-night\styles.xml                  | XML        |          9 |          9 |          1 |         19 |
| e:\studio projects\sono\android\app\src\main\res\values\styles.xml                        | XML        |          9 |          9 |          1 |         19 |
| e:\studio projects\sono\android\app\src\profile\AndroidManifest.xml                       | XML        |          3 |          4 |          1 |          8 |
| e:\studio projects\sono\android\build.gradle                                              | Groovy     |         26 |          0 |          5 |         31 |
| e:\studio projects\sono\android\gradle.properties                                         | Properties |          3 |          0 |          1 |          4 |
| e:\studio projects\sono\android\gradle\wrapper\gradle-wrapper.properties                  | Properties |          5 |          0 |          1 |          6 |
| e:\studio projects\sono\android\settings.gradle                                           | Groovy     |         24 |          0 |          6 |         30 |
| e:\studio projects\sono\ios\RunnerTests\RunnerTests.swift                                 | Swift      |          7 |          2 |          4 |         13 |
| e:\studio projects\sono\ios\Runner\AppDelegate.swift                                      | Swift      |         12 |          0 |          2 |         14 |
| e:\studio projects\sono\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json       | JSON       |        122 |          0 |          1 |        123 |
| e:\studio projects\sono\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json     | JSON       |         23 |          0 |          1 |         24 |
| e:\studio projects\sono\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md         | Markdown   |          3 |          0 |          2 |          5 |
| e:\studio projects\sono\ios\Runner\Base.lproj\LaunchScreen.storyboard                     | XML        |         36 |          1 |          1 |         38 |
| e:\studio projects\sono\ios\Runner\Base.lproj\Main.storyboard                             | XML        |         25 |          1 |          1 |         27 |
| e:\studio projects\sono\ios\Runner\Runner-Bridging-Header.h                               | C++        |          1 |          0 |          1 |          2 |
| e:\studio projects\sono\lib\core\constant\color.dart                                      | Dart       |          9 |          4 |          5 |         18 |
| e:\studio projects\sono\lib\core\constant\image_asset.dart                                | Dart       |         20 |          3 |          8 |         31 |
| e:\studio projects\sono\lib\core\constant\routes\get_page.dart                            | Dart       |         26 |          3 |         12 |         41 |
| e:\studio projects\sono\lib\core\constant\routes\route.dart                               | Dart       |          7 |         26 |         10 |         43 |
| e:\studio projects\sono\lib\core\localization\change_local.dart                           | Dart       |         10 |         20 |          6 |         36 |
| e:\studio projects\sono\lib\core\localization\language\ar.dart                            | Dart       |         25 |          8 |          5 |         38 |
| e:\studio projects\sono\lib\core\localization\language\en.dart                            | Dart       |         25 |          7 |          3 |         35 |
