"filename", "language", "YAML", "Dart", "Groovy", "XML", "HTML", "Markdown", "Properties", "C++", "JSON", "Swift", "comment", "blank", "total"
"/media/nims/ملفاتي/studio projects/sono/README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"/media/nims/ملفاتي/studio projects/sono/analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/media/nims/ملفاتي/studio projects/sono/android/app/build.gradle", "Groovy", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 5, 12, 68
"/media/nims/ملفاتي/studio projects/sono/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/media/nims/ملفاتي/studio projects/sono/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"/media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/media/nims/ملفاتي/studio projects/sono/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/media/nims/ملفاتي/studio projects/sono/android/build.gradle", "Groovy", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/media/nims/ملفاتي/studio projects/sono/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/media/nims/ملفاتي/studio projects/sono/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/media/nims/ملفاتي/studio projects/sono/android/settings.gradle", "Groovy", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 123
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/media/nims/ملفاتي/studio projects/sono/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 13
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/app_theme.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/color.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 41
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/image_asset.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 31
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/routes/get_page.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 43
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/routes/route.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 26, 11, 45
"/media/nims/ملفاتي/studio projects/sono/lib/core/localization/change_local.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
