"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/image_asset.dart", "Dart", 0, 8, 0, 1, 9
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/routes/get_page.dart", "Dart", 0, 0, 0, 1, 1
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/app_themezzzz.dart", "Dart", 0, 0, -45, -3, -48
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/color.dart", "Dart", 0, -28, -7, -12, -47
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/color/dark_color.dart", "Dart", 0, 3, 5, 7, 15
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/color/general_color.dart", "Dart", 0, 29, 4, 12, 45
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/color/light_color.dart", "Dart", 0, 3, 5, 7, 15
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/elevated_button_theme.dart", "Dart", 0, 7, 0, -2, 5
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/text_theme.dart", "Dart", 0, 21, 0, 2, 23
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/theme.dart", "Dart", 0, 2, 0, 0, 2
"/media/nims/ملفاتي/studio projects/sono/lib/core/functions/theme_text_button_color.dart", "Dart", 0, 5, 0, 2, 7
"/media/nims/ملفاتي/studio projects/sono/lib/core/localization/change_local.dart", "Dart", 0, -34, 0, -12, -46
"/media/nims/ملفاتي/studio projects/sono/lib/core/localization/language/ar.dart", "Dart", 0, -25, -8, -5, -38
"/media/nims/ملفاتي/studio projects/sono/lib/core/localization/language/en.dart", "Dart", 0, -25, -7, -3, -35
"/media/nims/ملفاتي/studio projects/sono/lib/core/localization/translation.dart", "Dart", 0, -10, -2, -3, -15
"/media/nims/ملفاتي/studio projects/sono/lib/core/responsive/base_widget.dart", "Dart", 0, 12, 0, 6, 18
"/media/nims/ملفاتي/studio projects/sono/lib/core/responsive/responsive_layout.dart", "Dart", 0, -7, 0, -1, -8
"/media/nims/ملفاتي/studio projects/sono/lib/core/services/services.dart", "Dart", 0, 5, 0, 1, 6
"/media/nims/ملفاتي/studio projects/sono/lib/core/utilization/change_local.dart", "Dart", 0, 34, 0, 12, 46
"/media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/language/ar.dart", "Dart", 0, 31, 12, 8, 51
"/media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/language/en.dart", "Dart", 0, 31, 11, 7, 49
"/media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/translation.dart", "Dart", 0, 10, 2, 3, 15
"/media/nims/ملفاتي/studio projects/sono/lib/data/data_source/static/onboarding_static.dart", "Dart", 0, 4, 0, 0, 4
"/media/nims/ملفاتي/studio projects/sono/lib/test.dart", "Dart", 0, -37, 37, 0, 0
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_screen.dart", "Dart", 0, 5, 0, -1, 4
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/language.dart", "Dart", 0, -12, 0, -1, -13
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/onboarding.dart", "Dart", 0, 0, 0, -1, -1
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/bottom_nav_bar/bottom_nav_bar.dart", "Dart", 0, 0, 0, -1, -1
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/add_ads/add_appbar.dart", "Dart", 0, 2, 0, -1, 1
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/language/custom_button_lang.dart", "Dart", 0, -23, 0, -6, -29
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/custom_button.dart", "Dart", 0, 4, 0, 0, 4
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/custom_slider.dart", "Dart", 0, 21, 0, 0, 21
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/dot_controller.dart", "Dart", 0, 9, 0, 1, 10
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/skip_button.dart", "Dart", 0, 5, 0, 0, 5
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/utilization/language/custom_button_lang.dart", "Dart", 0, 26, 0, 3, 29
"/media/nims/ملفاتي/studio projects/sono/pubspec.yaml", "YAML", -2, 0, 0, 0, -2
"Total", "-", -2, 76, 7, 21, 102
