Date : 2024-04-11 08:13:11
Directory : /media/nims/ملفاتي/studio projects/sono
Total : 86 files,  2062 codes, 297 comments, 412 blanks, all 2771 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         56 |      1,453 |        137 |        302 |      1,892 |
| JSON       |          3 |        180 |          0 |          3 |        183 |
| XML        |          9 |        120 |         48 |         11 |        179 |
| Groovy     |          3 |        101 |          5 |         23 |        129 |
| C++        |          6 |         95 |         27 |         39 |        161 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         35 |         62 |         11 |        108 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         86 |      2,062 |        297 |        412 |      2,771 |
| . (Files)                                                                                                 |          3 |         45 |         62 |         18 |        125 |
| android                                                                                                   |         12 |        168 |         51 |         34 |        253 |
| android (Files)                                                                                           |          3 |         53 |          0 |         12 |         65 |
| android/app                                                                                               |          8 |        110 |         51 |         21 |        182 |
| android/app (Files)                                                                                       |          1 |         51 |          5 |         12 |         68 |
| android/app/src                                                                                           |          7 |         59 |         46 |          9 |        114 |
| android/app/src/debug                                                                                     |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                      |          5 |         53 |         38 |          7 |         98 |
| android/app/src/main (Files)                                                                              |          1 |         27 |          6 |          1 |         34 |
| android/app/src/main/res                                                                                  |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                         |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                     |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                           |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                     |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                            |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                    |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                       |          8 |        229 |          4 |         13 |        246 |
| ios/Runner                                                                                                |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                        |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                             |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                           |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                     |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                           |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                       |         55 |      1,439 |        127 |        295 |      1,861 |
| lib (Files)                                                                                               |          3 |         66 |         48 |         23 |        137 |
| lib/core                                                                                                  |         22 |        463 |         75 |        155 |        693 |
| lib/core/constant                                                                                         |         12 |        261 |         49 |         90 |        400 |
| lib/core/constant (Files)                                                                                 |          1 |         28 |          3 |          9 |         40 |
| lib/core/constant/routes                                                                                  |          2 |         36 |         30 |         23 |         89 |
| lib/core/constant/theme                                                                                   |          9 |        197 |         16 |         58 |        271 |
| lib/core/constant/theme (Files)                                                                           |          1 |         40 |          0 |          4 |         44 |
| lib/core/constant/theme/color                                                                             |          3 |         35 |         14 |         26 |         75 |
| lib/core/constant/theme/custom_themes                                                                     |          5 |        122 |          2 |         28 |        152 |
| lib/core/functions                                                                                        |          1 |          5 |          0 |          2 |          7 |
| lib/core/middleware                                                                                       |          1 |         14 |          0 |          7 |         21 |
| lib/core/responsive                                                                                       |          3 |         53 |          1 |         17 |         71 |
| lib/core/services                                                                                         |          1 |         24 |          0 |          9 |         33 |
| lib/core/utilization                                                                                      |          4 |        106 |         25 |         30 |        161 |
| lib/core/utilization (Files)                                                                              |          1 |         34 |          0 |         12 |         46 |
| lib/core/utilization/localization                                                                         |          3 |         72 |         25 |         18 |        115 |
| lib/core/utilization/localization (Files)                                                                 |          1 |         10 |          2 |          3 |         15 |
| lib/core/utilization/localization/language                                                                |          2 |         62 |         23 |         15 |        100 |
| lib/data                                                                                                  |          2 |         21 |          0 |          3 |         24 |
| lib/data/data_source                                                                                      |          1 |         15 |          0 |          2 |         17 |
| lib/data/data_source/static                                                                               |          1 |         15 |          0 |          2 |         17 |
| lib/data/model                                                                                            |          1 |          6 |          0 |          1 |          7 |
| lib/logic                                                                                                 |          3 |         88 |          1 |         23 |        112 |
| lib/logic/bindings                                                                                        |          1 |         12 |          1 |          5 |         18 |
| lib/logic/controller                                                                                      |          2 |         76 |          0 |         18 |         94 |
| lib/view                                                                                                  |         25 |        801 |          3 |         91 |        895 |
| lib/view/screen                                                                                           |         10 |        213 |          0 |         33 |        246 |
| lib/view/screen (Files)                                                                                   |          6 |        145 |          0 |         22 |        167 |
| lib/view/screen/home_page                                                                                 |          4 |         68 |          0 |         11 |         79 |
| lib/view/screen/home_page (Files)                                                                         |          1 |         10 |          0 |          3 |         13 |
| lib/view/screen/home_page/icons_home                                                                      |          3 |         58 |          0 |          8 |         66 |
| lib/view/screen/home_page/icons_home (Files)                                                              |          2 |         35 |          0 |          5 |         40 |
| lib/view/screen/home_page/icons_home/add_ads                                                              |          1 |         23 |          0 |          3 |         26 |
| lib/view/widget                                                                                           |         15 |        588 |          3 |         58 |        649 |
| lib/view/widget (Files)                                                                                   |          2 |         60 |          2 |          8 |         70 |
| lib/view/widget/bottom_nav_bar                                                                            |          2 |        116 |          0 |          9 |        125 |
| lib/view/widget/home_page                                                                                 |          6 |        193 |          1 |         24 |        218 |
| lib/view/widget/home_page (Files)                                                                         |          1 |         23 |          0 |          4 |         27 |
| lib/view/widget/home_page/add_ads                                                                         |          2 |         56 |          0 |          6 |         62 |
| lib/view/widget/home_page/custom_appbar_home                                                              |          3 |        114 |          1 |         14 |        129 |
| lib/view/widget/onboarding                                                                                |          4 |        193 |          0 |         14 |        207 |
| lib/view/widget/utilization                                                                               |          1 |         26 |          0 |          3 |         29 |
| lib/view/widget/utilization/language                                                                      |          1 |         26 |          0 |          3 |         29 |
| linux                                                                                                     |          5 |         94 |         27 |         38 |        159 |
| linux (Files)                                                                                             |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                             |          2 |          8 |          9 |         11 |         28 |
| test                                                                                                      |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                       |          2 |         73 |         16 |          7 |         96 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                  | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /media/nims/ملفاتي/studio projects/sono/README.md                                                         | Markdown   |         10 |          0 |          7 |         17 |
| /media/nims/ملفاتي/studio projects/sono/analysis_options.yaml                                             | YAML       |          3 |         22 |          4 |         29 |
| /media/nims/ملفاتي/studio projects/sono/android/app/build.gradle                                          | Groovy     |         51 |          5 |         12 |         68 |
| /media/nims/ملفاتي/studio projects/sono/android/app/src/debug/AndroidManifest.xml                         | XML        |          3 |          4 |          1 |          8 |
| /media/nims/ملفاتي/studio projects/sono/android/app/src/main/AndroidManifest.xml                          | XML        |         27 |          6 |          1 |         34 |
| /media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/drawable-v21/launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
