"filename", "language", "C++", "Swift", "JSON", "XML", "Dart", "Markdown", "HTML", "YAML", "Groovy", "Properties", "comment", "blank", "total"
"/home/nims/studio projects/sono/README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"/home/nims/studio projects/sono/analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 22, 4, 29
"/home/nims/studio projects/sono/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 5, 12, 68
"/home/nims/studio projects/sono/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/home/nims/studio projects/sono/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"/home/nims/studio projects/sono/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/home/nims/studio projects/sono/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/home/nims/studio projects/sono/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/home/nims/studio projects/sono/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/home/nims/studio projects/sono/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/home/nims/studio projects/sono/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"/home/nims/studio projects/sono/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/home/nims/studio projects/sono/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/home/nims/studio projects/sono/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"/home/nims/studio projects/sono/ios/Runner/AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/nims/studio projects/sono/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/home/nims/studio projects/sono/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/home/nims/studio projects/sono/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/home/nims/studio projects/sono/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/home/nims/studio projects/sono/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/home/nims/studio projects/sono/ios/Runner/Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/nims/studio projects/sono/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/home/nims/studio projects/sono/lib/core/constant/image_asset.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 11, 44
"/home/nims/studio projects/sono/lib/core/constant/routes/get_page.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 12, 44
"/home/nims/studio projects/sono/lib/core/constant/routes/route.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 26, 11, 45
"/home/nims/studio projects/sono/lib/core/constant/theme/color/dark_color.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 7, 15
"/home/nims/studio projects/sono/lib/core/constant/theme/color/general_color.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 16, 48
"/home/nims/studio projects/sono/lib/core/constant/theme/color/light_color.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 7, 15
"/home/nims/studio projects/sono/lib/core/constant/theme/elements_theme/app_bar_theme.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"/home/nims/studio projects/sono/lib/core/constant/theme/elements_theme/elevated_button_theme.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"/home/nims/studio projects/sono/lib/core/constant/theme/elements_theme/icon_theme.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/home/nims/studio projects/sono/lib/core/constant/theme/elements_theme/text_filed_theme.dart", "Dart", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 4, 50
"/home/nims/studio projects/sono/lib/core/constant/theme/elements_theme/text_theme.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 5, 45
"/home/nims/studio projects/sono/lib/core/constant/theme/theme.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 44
