Date : 2024-05-04 02:03:34
Directory : /home/nims/studio projects/sono
Total : 94 files,  2270 codes, 309 comments, 473 blanks, all 3052 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         64 |      1,660 |        150 |        363 |      2,173 |
| JSON       |          3 |        180 |          0 |          3 |        183 |
| XML        |          9 |        120 |         48 |         11 |        179 |
| Groovy     |          3 |        101 |          5 |         23 |        129 |
| C++        |          6 |         95 |         27 |         39 |        161 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         36 |         61 |         11 |        108 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         94 |      2,270 |        309 |        473 |      3,052 |
| . (Files)                                                                                         |          3 |         46 |         61 |         18 |        125 |
| android                                                                                           |         12 |        168 |         51 |         34 |        253 |
| android (Files)                                                                                   |          3 |         53 |          0 |         12 |         65 |
| android/app                                                                                       |          8 |        110 |         51 |         21 |        182 |
| android/app (Files)                                                                               |          1 |         51 |          5 |         12 |         68 |
| android/app/src                                                                                   |          7 |         59 |         46 |          9 |        114 |
| android/app/src/debug                                                                             |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                              |          5 |         53 |         38 |          7 |         98 |
| android/app/src/main (Files)                                                                      |          1 |         27 |          6 |          1 |         34 |
| android/app/src/main/res                                                                          |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                 |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                             |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                   |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                             |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                           |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                    |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                            |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                               |          8 |        229 |          4 |         13 |        246 |
| ios/Runner                                                                                        |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                        |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                     |          1 |        122 |          0 |          1 |        123 |
